
Temperature,Pressure,Humidity,1.0 std,2.5 std,10 std,1.0 atm,2.5 atm,10 atm,Date,Time
0,0,0,0,0,0,0,0,0,07/17/24,14:29:25
-742,100394,30772,0,0,0,0,0,0,07/17/24,14:29:26
-740,100393,30773,1,4,4,1,4,4,07/17/24,14:29:27
-738,100392,30773,1,4,4,1,4,4,07/17/24,14:29:28
-738,100392,30779,1,4,4,1,4,4,07/17/24,14:29:29
-738,100391,30784,1,4,4,1,4,4,07/17/24,14:29:30
-737,100391,30779,1,4,4,1,4,4,07/17/24,14:29:31
-737,100391,30773,1,4,4,1,4,4,07/17/24,14:29:32
-736,100395,30779,1,4,4,1,4,4,07/17/24,14:29:33
-736,100395,30774,1,4,4,1,4,4,07/17/24,14:29:34
-736,100395,30762,1,4,4,1,4,4,07/17/24,14:29:35
-735,100394,30751,1,4,4,1,4,4,07/17/24,14:29:36
-735,100394,30751,1,4,4,1,4,4,07/17/24,14:29:37
-733,100394,30745,1,4,4,1,4,4,07/17/24,14:29:38
-733,100393,30751,1,4,4,1,4,4,07/17/24,14:29:39
-733,100394,30756,1,4,4,1,4,4,07/17/24,14:29:40
-732,100393,30751,1,4,4,1,4,4,07/17/24,14:29:41
-732,100393,30740,1,4,4,1,4,4,07/17/24,14:29:42
-732,100392,30740,1,4,4,1,4,4,07/17/24,14:29:43
-731,100392,30734,1,4,4,1,4,4,07/17/24,14:29:44
-731,100391,30740,1,4,4,1,4,4,07/17/24,14:29:45
-731,100391,30729,1,4,4,1,4,4,07/17/24,14:29:46
-730,100391,30734,1,4,4,1,4,4,07/17/24,14:29:47
-730,100390,30734,1,4,4,1,4,4,07/17/24,14:29:48
-728,100389,30734,1,4,4,1,4,4,07/17/24,14:29:49
-728,100390,30729,1,4,4,1,4,4,07/17/24,14:29:50
-728,100390,30734,1,4,4,1,4,4,07/17/24,14:29:51
-727,100392,30729,1,4,4,1,4,4,07/17/24,14:29:52
