Temperature,Pressure,Humidity,1.0 std,2.5 std,10 std,1.0 atm,2.5 atm,10 atm,Date,Time
0,0,0,0,0,0,0,0,0,07/19/24,09:51:38
-1083,70204,-31973,0,0,0,0,0,0,07/19/24,09:51:39
2120,100407,-29710,0,0,0,0,0,0,07/19/24,09:51:40
2120,100407,-29721,14,19,19,14,19,19,07/19/24,09:51:41
2121,100407,-29744,14,19,19,14,19,19,07/19/24,09:51:42
2123,100407,-29750,14,19,19,14,19,19,07/19/24,09:51:43
2123,100406,-29704,12,17,32,12,17,32,07/19/24,09:51:44
2123,100406,-29670,12,17,32,12,17,32,07/19/24,09:51:45
2121,100406,-29659,12,17,32,12,17,32,07/19/24,09:51:46
2121,100406,-29676,9,18,18,9,18,18,07/19/24,09:51:47
2120,100406,-29721,9,18,18,9,18,18,07/19/24,09:51:48
2120,100406,-29790,9,18,18,9,18,18,07/19/24,09:51:49
2120,100405,-29773,9,18,18,9,18,18,07/19/24,09:51:50
2121,100405,-29773,2,2,2,2,2,2,07/19/24,09:51:51
2121,100406,-29812,2,2,2,2,2,2,07/19/24,09:51:52
2121,100406,-29932,2,2,2,2,2,2,07/19/24,09:51:53
2121,100406,-30028,12,17,17,12,17,17,07/19/24,09:51:54
2121,100406,-30085,12,17,17,12,17,17,07/19/24,09:51:55
2121,100406,-30096,12,17,17,12,17,17,07/19/24,09:51:56
2121,100406,-30108,13,13,13,13,13,13,07/19/24,09:51:57
2123,100406,-30108,13,13,13,13,13,13,07/19/24,09:51:58
2123,100406,-30153,13,13,13,13,13,13,07/19/24,09:51:59
2123,100405,-30272,13,13,13,13,13,13,07/19/24,09:52:00
2123,100406,-30392,11,11,11,11,11,11,07/19/24,09:52:01
2123,100407,-30392,11,11,11,11,11,11,07/19/24,09:52:02
2123,100406,-30369,11,11,11,11,11,11,07/19/24,09:52:03
2123,100406,-30346,14,15,15,14,15,15,07/19/24,09:52:04
2123,100406,-30596,14,15,15,14,15,15,07/19/24,09:52:05
2123,100406,-30738,14,15,15,14,15,15,07/19/24,09:52:06
2123,100407,-30767,8,9,9,8,9,9,07/19/24,09:52:07
2121,100407,-30698,8,9,9,8,9,9,07/19/24,09:52:08
2121,100406,-30721,8,9,9,8,9,9,07/19/24,09:52:09
2123,100406,-30460,10,12,12,10,12,12,07/19/24,09:52:10
2123,100406,-30431,10,12,12,10,12,12,07/19/24,09:52:11
2123,100406,-30420,10,12,12,10,12,12,07/19/24,09:52:12
2123,100406,-30079,10,12,12,10,12,12,07/19/24,09:52:13
2123,100405,-29932,11,13,13,11,13,13,07/19/24,09:52:14
2124,100405,-29976,11,13,13,11,13,13,07/19/24,09:52:15
2124,100406,-30192,11,13,13,11,13,13,07/19/24,09:52:16
2124,100406,-30169,13,15,15,13,15,15,07/19/24,09:52:17
2124,100405,-30283,13,15,15,13,15,15,07/19/24,09:52:18
2124,100405,-30079,13,15,15,13,15,15,07/19/24,09:52:19
2125,100405,-30039,11,13,24,11,13,24,07/19/24,09:52:20
2125,100406,-30152,11,13,24,11,13,24,07/19/24,09:52:21
2124,100405,-30289,11,13,24,11,13,24,07/19/24,09:52:22
2123,100406,-30352,10,12,12,10,12,12,07/19/24,09:52:23
2124,100404,-30431,10,12,12,10,12,12,07/19/24,09:52:24
2124,100404,-30556,10,12,12,10,12,12,07/19/24,09:52:25
2124,100405,-30698,10,12,12,10,12,12,07/19/24,09:52:26
2124,100406,-30777,8,10,10,8,10,10,07/19/24,09:52:27
2124,100406,-30817,8,10,10,8,10,10,07/19/24,09:52:28
2123,100406,-30886,8,10,10,8,10,10,07/19/24,09:52:29
2121,100405,-30971,9,9,9,9,9,9,07/19/24,09:52:30
2121,100407,-31039,9,9,9,9,9,9,07/19/24,09:52:31
2121,100407,-31062,9,9,9,9,9,9,07/19/24,09:52:32
2121,100407,-31085,8,8,36,8,8,36,07/19/24,09:52:33
2121,100407,-31113,8,8,36,8,8,36,07/19/24,09:52:34
2121,100407,-31136,8,8,36,8,8,36,07/19/24,09:52:35
2121,100406,-31142,10,10,10,10,10,10,07/19/24,09:52:36
2121,100406,-31147,10,10,10,10,10,10,07/19/24,09:52:37
2120,100406,-31176,10,10,10,10,10,10,07/19/24,09:52:38
2120,100407,-31198,10,10,10,10,10,10,07/19/24,09:52:39
2120,100406,-31227,8,12,12,8,12,12,07/19/24,09:52:40
2120,100406,-31193,8,12,12,8,12,12,07/19/24,09:52:41
2120,100406,-30994,8,12,12,8,12,12,07/19/24,09:52:42
2121,100406,-30880,5,11,23,5,11,23,07/19/24,09:52:43
2121,100406,-30789,5,11,23,5,11,23,07/19/24,09:52:44
