Temperature,Pressure,Humidity,1.0 std,2.5 std,10 std,1.0 atm,2.5 atm,10 atm,Date,Time
0,0,0,0,0,0,0,0,0,07/19/24,09:51:36
-967,65247,32045,0,0,0,0,0,0,07/19/24,09:51:37
2081,100310,30212,0,0,0,0,0,0,07/19/24,09:51:38
2083,100310,30246,2,62,62,2,46,55,07/19/24,09:51:39
2086,100308,30546,2,62,62,2,46,55,07/19/24,09:51:40
2087,100311,30631,2,62,62,2,46,55,07/19/24,09:51:41
2088,100311,30552,3,60,60,3,46,54,07/19/24,09:51:42
2088,100311,30467,3,60,60,3,46,54,07/19/24,09:51:43
2087,100310,30388,3,60,60,3,46,54,07/19/24,09:51:44
2086,100308,30320,3,60,60,3,46,54,07/19/24,09:51:45
2087,100310,30337,9,57,57,9,44,52,07/19/24,09:51:46
2087,100310,30501,9,57,57,9,44,52,07/19/24,09:51:47
2088,100310,30637,9,57,57,9,44,52,07/19/24,09:51:48
2090,100310,30642,19,50,50,19,41,48,07/19/24,09:51:49
2088,100310,30495,19,50,50,19,41,48,07/19/24,09:51:50
2088,100311,30354,19,50,50,19,41,48,07/19/24,09:51:51
2087,100311,30292,3,55,55,3,44,51,07/19/24,09:51:52
2088,100310,30213,3,55,55,3,44,51,07/19/24,09:51:53
2087,100311,30117,3,55,55,3,44,51,07/19/24,09:51:54
2088,100311,30015,31,47,47,26,40,46,07/19/24,09:51:55
2087,100311,29919,31,47,47,26,40,46,07/19/24,09:51:56
2087,100311,29834,31,47,47,26,40,46,07/19/24,09:51:57
2088,100312,29767,31,47,47,26,40,46,07/19/24,09:51:58
2088,100311,29688,19,53,53,19,43,50,07/19/24,09:51:59
2088,100311,29597,19,53,53,19,43,50,07/19/24,09:52:00
2088,100311,29512,19,53,53,19,43,50,07/19/24,09:52:01
2090,100310,29558,51,56,60,34,44,54,07/19/24,09:52:02
2090,100310,29507,51,56,60,34,44,54,07/19/24,09:52:03
2090,100309,29433,51,56,60,34,44,54,07/19/24,09:52:04
2091,100309,29428,22,49,49,21,41,47,07/19/24,09:52:05
2090,100310,29371,22,49,49,21,41,47,07/19/24,09:52:06
2087,100312,29303,22,49,49,21,41,47,07/19/24,09:52:07
2087,100313,29450,21,47,47,20,40,46,07/19/24,09:52:08
2088,100312,29541,21,47,47,20,40,46,07/19/24,09:52:09
2088,100310,29930,21,47,47,20,40,46,07/19/24,09:52:10
2090,100311,29812,21,47,47,20,40,46,07/19/24,09:52:11
2088,100311,29603,51,55,58,34,44,53,07/19/24,09:52:12
2088,100312,29439,51,55,58,34,44,53,07/19/24,09:52:13
2088,100313,29529,51,55,58,34,44,53,07/19/24,09:52:14
2090,100312,29535,34,48,48,28,40,47,07/19/24,09:52:15
2091,100311,29625,34,48,48,28,40,47,07/19/24,09:52:16
2092,100311,30021,34,48,48,28,40,47,07/19/24,09:52:17
2092,100310,30032,26,46,49,23,39,47,07/19/24,09:52:18
2091,100310,30083,26,46,49,23,39,47,07/19/24,09:52:19
2093,100310,30360,26,46,49,23,39,47,07/19/24,09:52:20
2092,100309,30236,26,46,49,23,39,47,07/19/24,09:52:21
2092,100309,30004,40,51,54,30,42,50,07/19/24,09:52:22
2091,100308,29868,40,51,54,30,42,50,07/19/24,09:52:23
2091,100308,29789,40,51,54,30,42,50,07/19/24,09:52:24
2091,100309,29716,49,54,54,34,43,50,07/19/24,09:52:25
2091,100309,29665,49,54,54,34,43,50,07/19/24,09:52:26
2091,100309,29580,49,54,54,34,43,50,07/19/24,09:52:27
2091,100309,29478,46,51,51,33,42,49,07/19/24,09:52:28
2091,100310,29405,46,51,51,33,42,49,07/19/24,09:52:29
2091,100311,29320,46,51,51,33,42,49,07/19/24,09:52:30
2091,100310,29258,49,49,53,34,41,50,07/19/24,09:52:31
2091,100310,29224,49,49,53,34,41,50,07/19/24,09:52:32
2092,100310,29185,49,49,53,34,41,50,07/19/24,09:52:33
2093,100310,29157,49,49,53,34,41,50,07/19/24,09:52:34
2095,100309,29129,22,53,53,21,43,50,07/19/24,09:52:35
2096,100312,29100,22,53,53,21,43,50,07/19/24,09:52:36
2095,100309,29095,22,53,53,21,43,50,07/19/24,09:52:37
2096,100311,29202,50,54,54,34,43,50,07/19/24,09:52:38
2096,100311,29332,50,54,54,34,43,50,07/19/24,09:52:39
2096,100312,29383,50,54,54,34,43,50,07/19/24,09:52:40
2096,100311,29394,44,44,44,32,38,44,07/19/24,09:52:41
2095,100308,29349,44,44,44,32,38,44,07/19/24,09:52:42
2095,100308,29298,44,44,44,32,38,44,07/19/24,09:52:43
2096,100310,29349,44,44,44,32,38,44,07/19/24,09:52:44
2095,100307,29417,35,57,57,28,44,52,07/19/24,09:52:45
2095,100307,29372,35,57,57,28,44,52,07/19/24,09:52:46
