Temperature,Pressure,Humidity,1.0 std,2.5 std,10 std,1.0 atm,2.5 atm,10 atm,Date,Time
0,0,0,0,0,0,0,0,0,08/15/24,19:10:36
-799,79929,-29775,0,0,0,0,0,0,08/15/24,19:10:37
1361,101224,-31944,0,0,0,0,0,0,08/15/24,19:10:38
1363,101223,-31944,0,0,0,0,0,0,08/15/24,19:10:39
1365,101223,-31944,0,0,0,0,0,0,08/15/24,19:10:40
1360,101224,-31945,0,0,0,0,0,0,08/15/24,19:10:41
1356,101222,-31957,0,0,0,0,0,0,08/15/24,19:10:42
1353,101223,-31952,0,0,0,0,0,0,08/15/24,19:10:43
1352,101223,-31969,0,0,0,0,0,0,08/15/24,19:10:44
1349,101223,-31958,0,0,0,0,0,0,08/15/24,19:10:45
1348,101224,-31975,0,0,0,0,0,0,08/15/24,19:10:46
1348,101224,-31975,0,0,0,0,0,0,08/15/24,19:10:47
1348,101225,-31975,0,0,0,0,0,0,08/15/24,19:10:48
1348,101225,-31981,0,0,0,0,0,0,08/15/24,19:10:49
1348,101225,-31975,0,0,0,0,0,0,08/15/24,19:10:50
1346,101223,-31959,0,0,0,0,0,0,08/15/24,19:10:51
1342,101225,-31953,0,0,0,0,0,0,08/15/24,19:10:52
1339,101225,-31931,0,0,0,0,0,0,08/15/24,19:10:53
1338,101226,-31942,0,0,0,0,0,0,08/15/24,19:10:54
1337,101220,-31925,0,0,0,0,0,0,08/15/24,19:10:55
1337,101220,-31919,0,0,0,0,0,0,08/15/24,19:10:56
1337,101220,-31885,0,0,0,0,0,0,08/15/24,19:10:57
1335,101221,-31897,0,0,0,0,0,0,08/15/24,19:10:58
1327,101220,-31858,0,0,0,0,0,0,08/15/24,19:10:59
1325,101220,-31807,0,0,0,0,0,0,08/15/24,19:11:00
1323,101220,-31785,0,0,0,0,0,0,08/15/24,19:11:01
1318,101221,-31767,0,0,0,0,0,0,08/15/24,19:11:02
1315,101218,-31774,0,0,0,0,0,0,08/15/24,19:11:03
1313,101220,-31763,0,0,0,0,0,0,08/15/24,19:11:04
1310,101221,-31769,0,0,0,0,0,0,08/15/24,19:11:05
1309,101220,-31764,0,0,0,0,0,0,08/15/24,19:11:06
1304,101220,-31735,0,0,0,0,0,0,08/15/24,19:11:07
1296,101220,-31708,0,0,0,0,0,0,08/15/24,19:11:08
1288,101222,-31686,0,0,0,0,0,0,08/15/24,19:11:09
1282,101221,-31670,0,0,0,0,0,0,08/15/24,19:11:10
1278,101222,-31682,0,0,0,0,0,0,08/15/24,19:11:11
1271,101222,-31671,0,0,0,0,0,0,08/15/24,19:11:12
1266,101222,-31684,0,0,0,0,0,0,08/15/24,19:11:13
1259,101224,-31691,0,0,0,0,0,0,08/15/24,19:11:14
1254,101222,-31668,0,0,0,0,0,0,08/15/24,19:11:15
1245,101221,-31630,0,0,0,0,0,0,08/15/24,19:11:16
1236,101220,-31614,0,0,0,0,0,0,08/15/24,19:11:17
1230,101222,-31597,0,0,0,0,0,0,08/15/24,19:11:18
1222,101222,-31616,0,0,0,0,0,0,08/15/24,19:11:19
1213,101220,-31605,0,0,0,0,0,0,08/15/24,19:11:20
1208,101219,-31578,0,0,0,0,0,0,08/15/24,19:11:21
1208,101219,-31572,0,0,0,0,0,0,08/15/24,19:11:22
1203,101220,-31556,0,0,0,0,0,0,08/15/24,19:11:23
1198,101220,-31585,0,0,0,0,0,0,08/15/24,19:11:24
1194,101220,-31574,0,0,0,0,0,0,08/15/24,19:11:25
1191,101221,-31563,0,0,0,0,0,0,08/15/24,19:11:26
1187,101219,-31518,0,0,0,0,0,0,08/15/24,19:11:27
1184,101220,-31496,0,0,0,0,0,0,08/15/24,19:11:28
1179,101219,-31508,0,0,0,0,0,0,08/15/24,19:11:29
1180,101219,-31514,0,0,0,0,0,0,08/15/24,19:11:30
1179,101221,-31491,0,0,0,0,0,0,08/15/24,19:11:31
1177,101221,-31474,0,0,0,0,0,0,08/15/24,19:11:32
1173,101223,-31452,0,0,0,0,0,0,08/15/24,19:11:33
1170,101220,-31452,0,0,0,0,0,0,08/15/24,19:11:34
1165,101222,-31470,0,0,0,0,0,0,08/15/24,19:11:35
1163,101222,-31511,0,0,0,0,0,0,08/15/24,19:11:36
1159,101219,-31494,0,0,0,0,0,0,08/15/24,19:11:37
1151,101219,-31489,0,0,0,0,0,0,08/15/24,19:11:38
1149,101220,-31479,0,0,0,0,0,0,08/15/24,19:11:39
1150,101219,-31501,0,0,0,0,0,0,08/15/24,19:11:40
1151,101220,-31495,0,0,0,0,0,0,08/15/24,19:11:41
1149,101221,-31461,0,0,0,0,0,0,08/15/24,19:11:42
1146,101221,-31484,0,0,0,0,0,0,08/15/24,19:11:43
1149,101221,-31496,0,0,0,0,0,0,08/15/24,19:11:44
1149,101221,-31416,0,0,0,0,0,0,08/15/24,19:11:45
1141,101221,-31370,0,0,0,0,0,0,08/15/24,19:11:46
1140,101222,-31354,0,0,0,0,0,0,08/15/24,19:11:47
1133,101224,-31320,0,0,0,0,0,0,08/15/24,19:11:48
1133,101223,-31315,0,0,0,0,0,0,08/15/24,19:11:49
1135,101223,-31315,0,0,0,0,0,0,08/15/24,19:11:50
1140,101222,-31331,0,0,0,0,0,0,08/15/24,19:11:51
1145,101223,-31318,0,0,0,0,0,0,08/15/24,19:11:52
1145,101223,-31278,0,0,0,0,0,0,08/15/24,19:11:53
1142,101225,-31285,0,0,0,0,0,0,08/15/24,19:11:54
1140,101222,-31302,0,0,0,0,0,0,08/15/24,19:11:55
1141,101222,-31348,0,0,0,0,0,0,08/15/24,19:11:56
1141,101223,-31382,0,0,0,0,0,0,08/15/24,19:11:57
1147,101224,-31404,0,0,0,0,0,0,08/15/24,19:11:58
1151,101221,-31432,0,0,0,0,0,0,08/15/24,19:11:59
1151,101221,-31438,0,0,0,0,0,0,08/15/24,19:12:00
1149,101221,-31433,0,0,0,0,0,0,08/15/24,19:12:01
1150,101220,-31461,0,0,0,0,0,0,08/15/24,19:12:02
1151,101220,-31449,0,0,0,0,0,0,08/15/24,19:12:03
1150,101222,-31438,0,0,0,0,0,0,08/15/24,19:12:04
1147,101223,-31393,0,0,0,0,0,0,08/15/24,19:12:05
1147,101222,-31410,0,0,0,0,0,0,08/15/24,19:12:06
1146,101223,-31341,0,0,0,0,0,0,08/15/24,19:12:07
1145,101222,-31330,0,0,0,0,0,0,08/15/24,19:12:08
1149,101221,-31347,0,0,1,0,0,1,08/15/24,19:12:09
1151,101221,-31323,0,0,1,0,0,1,08/15/24,19:12:10
1150,101221,-31318,0,0,1,0,0,1,08/15/24,19:12:11
