Temperature,Pressure,Humidity,1.0 std,2.5 std,10 std,1.0 atm,2.5 atm,10 atm,Date,Time
0,0,0,0,0,0,0,0,0,08/15/24,20:16:20
1274,101189,-29000,0,0,0,0,0,0,08/15/24,20:16:21
1273,101186,-28983,61,87,98,40,58,72,08/15/24,20:16:22
1273,101187,-28983,61,87,98,40,58,72,08/15/24,20:16:23
1273,101188,-28972,69,101,112,45,66,83,08/15/24,20:16:24
1273,101188,-28960,69,101,112,45,66,83,08/15/24,20:16:25
1271,101187,-28966,66,96,108,44,63,82,08/15/24,20:16:26
1271,101187,-28966,66,96,108,44,63,82,08/15/24,20:16:27
1273,101187,-28966,66,96,108,44,63,82,08/15/24,20:16:28
1275,101189,-28977,63,91,103,42,61,79,08/15/24,20:16:29
1278,101189,-28988,63,91,103,42,61,79,08/15/24,20:16:30
1280,101189,-29009,61,88,99,41,59,78,08/15/24,20:16:31
1282,101188,-29032,61,88,99,41,59,78,08/15/24,20:16:32
1280,101189,-29038,58,84,96,39,58,76,08/15/24,20:16:33
1278,101190,-29033,58,84,96,39,58,76,08/15/24,20:16:34
1278,101190,-29038,56,82,93,38,58,75,08/15/24,20:16:35
1279,101190,-29050,56,82,93,38,58,75,08/15/24,20:16:36
1279,101189,-29055,55,79,90,38,57,73,08/15/24,20:16:37
1278,101188,-29050,55,79,90,38,57,73,08/15/24,20:16:38
1276,101189,-29050,54,77,89,38,56,72,08/15/24,20:16:39
1275,101190,-29045,54,77,89,38,56,72,08/15/24,20:16:40
1275,101191,-29045,52,76,86,37,56,72,08/15/24,20:16:41
1274,101190,-29039,52,76,86,37,56,72,08/15/24,20:16:42
1274,101190,-29045,51,73,85,37,55,71,08/15/24,20:16:43
1270,101189,-29011,51,73,85,37,55,71,08/15/24,20:16:44
1264,101190,-29001,50,72,83,36,54,70,08/15/24,20:16:45
1259,101189,-28996,50,72,83,36,54,70,08/15/24,20:16:46
1251,101188,-28992,50,72,83,36,54,70,08/15/24,20:16:47
1253,101188,-29014,50,72,82,36,54,70,08/15/24,20:16:48
1257,101188,-29014,50,72,82,36,54,70,08/15/24,20:16:49
1259,101188,-29041,50,72,82,36,54,70,08/15/24,20:16:50
1257,101188,-29048,50,72,82,36,54,70,08/15/24,20:16:51
1248,101188,-29009,49,71,82,36,54,70,08/15/24,20:16:52
1239,101189,-28988,49,71,82,36,54,70,08/15/24,20:16:53
1238,101190,-28971,49,71,81,36,54,69,08/15/24,20:16:54
1238,101189,-28994,49,71,81,36,54,69,08/15/24,20:16:55
1235,101190,-28989,50,72,82,36,54,70,08/15/24,20:16:56
1233,101185,-28990,50,72,82,36,54,70,08/15/24,20:16:57
1231,101186,-28990,51,73,83,37,55,70,08/15/24,20:16:58
1230,101186,-28973,51,73,83,37,55,70,08/15/24,20:16:59
1226,101188,-28974,52,76,85,37,56,71,08/15/24,20:17:00
1226,101188,-28974,52,76,85,37,56,71,08/15/24,20:17:01
1223,101186,-28963,54,78,88,38,56,72,08/15/24,20:17:02
1217,101188,-28958,54,78,88,38,56,72,08/15/24,20:17:03
1213,101186,-28965,56,81,90,38,57,73,08/15/24,20:17:04
1212,101186,-28953,56,81,90,38,57,73,08/15/24,20:17:05
1212,101186,-28965,57,84,92,39,58,75,08/15/24,20:17:06
1209,101186,-28971,57,84,92,39,58,75,08/15/24,20:17:07
1208,101187,-28965,57,84,92,39,58,75,08/15/24,20:17:08
1207,101188,-28982,61,86,97,41,59,77,08/15/24,20:17:09
1205,101188,-28977,61,86,97,41,59,77,08/15/24,20:17:10
1207,101187,-28982,64,91,102,42,61,78,08/15/24,20:17:11
1205,101187,-28982,64,91,102,42,61,78,08/15/24,20:17:12
1203,101185,-28972,68,97,108,44,64,82,08/15/24,20:17:13
1200,101186,-28966,68,97,108,44,64,82,08/15/24,20:17:14
1195,101185,-28961,72,103,115,48,68,84,08/15/24,20:17:15
1189,101187,-28946,72,103,115,48,68,84,08/15/24,20:17:16
1187,101188,-28952,78,111,123,51,73,88,08/15/24,20:17:17
1184,101187,-28952,78,111,123,51,73,88,08/15/24,20:17:18
1177,101189,-28943,84,119,132,56,79,90,08/15/24,20:17:19
1168,101189,-28921,84,119,132,56,79,90,08/15/24,20:17:20
1167,101190,-28933,101,142,156,66,93,103,08/15/24,20:17:21
1170,101188,-28959,101,142,156,66,93,103,08/15/24,20:17:22
1174,101188,-28976,109,153,170,72,102,112,08/15/24,20:17:23
1174,101188,-28993,109,153,170,72,102,112,08/15/24,20:17:24
1173,101188,-29005,130,184,202,86,122,133,08/15/24,20:17:25
1172,101188,-28959,130,184,202,86,122,133,08/15/24,20:17:26
