
Temperature,Pressure,Humidity,1.0 std,2.5 std,10 std,1.0 atm,2.5 atm,10 atm,Date,Time
0,0,0,0,0,0,0,0,0,07/17/24,14:29:27
-695,100514,32464,0,0,0,0,0,0,07/17/24,14:29:28
-694,100514,32469,1,3,4,1,3,4,07/17/24,14:29:29
-692,100513,32464,1,3,4,1,3,4,07/17/24,14:29:30
-692,100512,32459,1,3,4,1,3,4,07/17/24,14:29:31
-692,100512,32453,1,3,4,1,3,4,07/17/24,14:29:32
-691,100516,32448,1,3,4,1,3,4,07/17/24,14:29:33
-690,100516,32442,1,3,4,1,3,4,07/17/24,14:29:34
-690,100517,32442,1,3,4,1,3,4,07/17/24,14:29:35
-690,100518,32448,1,3,4,1,3,4,07/17/24,14:29:36
-689,100517,32453,1,3,4,1,3,4,07/17/24,14:29:37
-687,100516,32459,1,3,4,1,3,4,07/17/24,14:29:38
-687,100515,32459,1,3,4,1,3,4,07/17/24,14:29:39
-687,100514,32448,1,3,4,1,3,4,07/17/24,14:29:40
-686,100514,32443,1,3,4,1,3,4,07/17/24,14:29:41
-686,100513,32437,1,3,4,1,3,4,07/17/24,14:29:42
-684,100514,32431,1,3,3,1,3,3,07/17/24,14:29:43
-682,100513,32438,1,3,3,1,3,3,07/17/24,14:29:44
-682,100512,32427,1,3,3,1,3,3,07/17/24,14:29:45
-682,100512,32427,1,3,3,1,3,3,07/17/24,14:29:46
-682,100511,32415,1,3,3,1,3,3,07/17/24,14:29:47
-682,100511,32404,1,2,3,1,2,3,07/17/24,14:29:48
-680,100517,32410,1,2,3,1,2,3,07/17/24,14:29:49
-679,100516,32405,1,2,3,1,2,3,07/17/24,14:29:50
-677,100515,32410,1,2,3,1,2,3,07/17/24,14:29:51
-676,100515,32394,1,2,3,1,2,3,07/17/24,14:29:52
-676,100516,32388,1,2,3,1,2,3,07/17/24,14:29:53
-675,100516,32377,1,2,2,1,2,2,07/17/24,14:29:54
-675,100516,32371,1,2,2,1,2,2,07/17/24,14:29:55
-674,100514,32366,1,2,2,1,2,2,07/17/24,14:29:56
-671,100516,32372,1,2,2,1,2,2,07/17/24,14:29:57
-670,100515,32361,1,2,2,1,2,2,07/17/24,14:29:58
-669,100515,32361,1,2,2,1,2,2,07/17/24,14:29:59
-667,100515,32356,1,2,2,1,2,2,07/17/24,14:30:00
-667,100516,32345,1,2,2,1,2,2,07/17/24,14:30:01
-666,100516,32350,1,2,2,1,2,2,07/17/24,14:30:02
-664,100514,32350,1,2,2,1,2,2,07/17/24,14:30:03
-662,100517,32351,1,2,2,1,2,2,07/17/24,14:30:04
-660,100516,32351,1,2,2,1,2,2,07/17/24,14:30:05
-660,100516,32346,1,2,2,1,2,2,07/17/24,14:30:06
-659,100515,32346,1,2,2,1,2,2,07/17/24,14:30:07
-657,100515,32346,1,2,2,1,2,2,07/17/24,14:30:08
-655,100514,32335,1,2,2,1,2,2,07/17/24,14:30:09
-654,100514,32340,1,2,2,1,2,2,07/17/24,14:30:10
-654,100514,32329,1,2,2,1,2,2,07/17/24,14:30:11
-652,100517,32335,1,2,2,1,2,2,07/17/24,14:30:12
-651,100516,32313,1,2,2,1,2,2,07/17/24,14:30:13
-650,100515,32291,1,2,2,1,2,2,07/17/24,14:30:14
-650,100515,32291,1,2,2,1,2,2,07/17/24,14:30:15
-647,100515,32286,1,2,2,1,2,2,07/17/24,14:30:16
-646,100515,32275,1,2,2,1,2,2,07/17/24,14:30:17
-646,100514,32286,1,2,2,1,2,2,07/17/24,14:30:18
-649,100515,32269,1,2,2,1,2,2,07/17/24,14:30:19
-646,100515,32269,1,2,2,1,2,2,07/17/24,14:30:20
-644,100513,32292,1,2,2,1,2,2,07/17/24,14:30:21
-641,100514,32281,1,2,2,1,2,2,07/17/24,14:30:22
-641,100513,32281,1,2,2,1,2,2,07/17/24,14:30:23
-639,100514,32281,1,2,2,1,2,2,07/17/24,14:30:24
-637,100513,32287,1,2,2,1,2,2,07/17/24,14:30:25
-635,100512,32293,1,2,2,1,2,2,07/17/24,14:30:26
-631,100514,32282,1,2,2,1,2,2,07/17/24,14:30:27
-631,100513,32271,1,2,2,1,2,2,07/17/24,14:30:28
-631,100515,32232,1,2,2,1,2,2,07/17/24,14:30:29
-630,100514,32227,1,2,2,1,2,2,07/17/24,14:30:30
-629,100513,32227,1,2,2,1,2,2,07/17/24,14:30:31
-629,100512,32227,1,2,2,1,2,2,07/17/24,14:30:32
-629,100511,32221,1,2,2,1,2,2,07/17/24,14:30:33
-626,100510,32227,1,2,2,1,2,2,07/17/24,14:30:34
-622,100513,32233,1,2,2,1,2,2,07/17/24,14:30:35
-621,100513,32227,1,2,2,1,2,2,07/17/24,14:30:36
-621,100513,32222,1,2,2,1,2,2,07/17/24,14:30:37
-620,100514,32228,0,2,2,0,2,2,07/17/24,14:30:38
-619,100512,32211,0,2,2,0,2,2,07/17/24,14:30:39
-617,100511,32217,0,1,2,0,1,2,07/17/24,14:30:40
-616,100510,32229,0,1,2,0,1,2,07/17/24,14:30:41
-615,100509,32229,0,1,2,0,1,2,07/17/24,14:30:42
-614,100512,32229,0,1,1,0,1,1,07/17/24,14:30:43
-614,100511,32223,0,1,1,0,1,1,07/17/24,14:30:44
-612,100512,32224,0,1,1,0,1,1,07/17/24,14:30:45
-610,100512,32224,0,1,1,0,1,1,07/17/24,14:30:46
-609,100510,32218,0,1,1,0,1,1,07/17/24,14:30:47
-607,100511,32213,0,1,1,0,1,1,07/17/24,14:30:48
-606,100510,32219,0,1,1,0,1,1,07/17/24,14:30:49
-605,100515,32224,0,1,1,0,1,1,07/17/24,14:30:50
-604,100514,32224,0,1,1,0,1,1,07/17/24,14:30:51
-602,100514,32220,0,1,1,0,1,1,07/17/24,14:30:52
-602,100513,32197,0,1,1,0,1,1,07/17/24,14:30:53
-600,100513,32186,0,1,1,0,1,1,07/17/24,14:30:54
-600,100514,32180,0,1,1,0,1,1,07/17/24,14:30:55
-597,100512,32186,0,1,1,0,1,1,07/17/24,14:30:56
-596,100511,32175,0,1,1,0,1,1,07/17/24,14:30:57
-595,100514,32153,0,1,1,0,1,1,07/17/24,14:30:58
-595,100513,32136,0,1,1,0,1,1,07/17/24,14:30:59
-594,100513,32119,0,1,1,0,1,1,07/17/24,14:31:00
-594,100513,32114,0,1,1,0,1,1,07/17/24,14:31:01
-592,100514,32103,0,1,1,0,1,1,07/17/24,14:31:02
-592,100513,32098,0,1,1,0,1,1,07/17/24,14:31:03
-591,100512,32086,0,1,1,0,1,1,07/17/24,14:31:04
-589,100514,32092,0,1,1,0,1,1,07/17/24,14:31:05
-587,100512,32086,0,1,1,0,1,1,07/17/24,14:31:06
-587,100511,32081,0,1,1,0,1,1,07/17/24,14:31:07
-586,100510,32081,0,1,1,0,1,1,07/17/24,14:31:08
-585,100513,32081,0,1,1,0,1,1,07/17/24,14:31:09
-584,100513,32093,0,1,1,0,1,1,07/17/24,14:31:10
-585,100513,32098,0,1,1,0,1,1,07/17/24,14:31:11
-585,100513,32104,0,1,1,0,1,1,07/17/24,14:31:12
-585,100514,32115,0,1,1,0,1,1,07/17/24,14:31:13
-582,100514,32116,0,1,1,0,1,1,07/17/24,14:31:14
-580,100513,32100,0,1,1,0,1,1,07/17/24,14:31:15
-580,100513,32100,0,1,1,0,1,1,07/17/24,14:31:16
-579,100513,32094,0,1,1,0,1,1,07/17/24,14:31:17
-577,100511,32094,0,1,1,0,1,1,07/17/24,14:31:18
-576,100512,32100,0,1,1,0,1,1,07/17/24,14:31:19
-575,100513,32116,0,1,1,0,1,1,07/17/24,14:31:20
-575,100514,32111,0,1,1,0,1,1,07/17/24,14:31:21
-576,100514,32111,0,1,1,0,1,1,07/17/24,14:31:22
-575,100513,32111,0,1,1,0,1,1,07/17/24,14:31:23
-574,100513,32116,0,1,1,0,1,1,07/17/24,14:31:24
-570,100512,32106,0,1,1,0,1,1,07/17/24,14:31:25
-569,100511,32101,0,1,1,0,1,1,07/17/24,14:31:26
-569,100509,32107,0,1,1,0,1,1,07/17/24,14:31:27
-567,100509,32090,0,1,1,0,1,1,07/17/24,14:31:28
-566,100513,32090,0,1,1,0,1,1,07/17/24,14:31:29
-564,100512,32107,0,1,1,0,1,1,07/17/24,14:31:30
-562,100513,32096,0,1,1,0,1,1,07/17/24,14:31:31
-562,100512,32091,0,1,1,0,1,1,07/17/24,14:31:32
-560,100512,32086,0,1,1,0,1,1,07/17/24,14:31:33
-559,100511,32080,0,1,1,0,1,1,07/17/24,14:31:34
-556,100514,32063,0,1,1,0,1,1,07/17/24,14:31:35
-555,100513,32058,0,1,1,0,1,1,07/17/24,14:31:36
-554,100511,32041,0,1,1,0,1,1,07/17/24,14:31:37
-554,100512,32024,0,1,1,0,1,1,07/17/24,14:31:38
-551,100511,32019,0,1,1,0,1,1,07/17/24,14:31:39
-550,100511,32008,0,1,1,0,1,1,07/17/24,14:31:40
-547,100512,32008,0,1,1,0,1,1,07/17/24,14:31:41
-547,100512,32003,0,1,1,0,1,1,07/17/24,14:31:42
