1.0 std,2.5 std,10 std,Fire,DateTime
6,7,7,0,2024-06-29 10:06:09
6,7,7,0,2024-06-29 10:06:54
8,18,18,0,2024-06-29 10:07:09
9,22,24,0,2024-06-29 10:07:27
7,16,19,0,2024-06-29 10:07:44
7,8,19,0,2024-06-29 10:08:01
7,13,27,0,2024-06-29 10:08:18
4,12,22,0,2024-06-29 10:08:35
4,10,18,0,2024-06-29 10:08:52
4,9,16,0,2024-06-29 10:09:09
4,10,16,0,2024-06-29 10:09:27
6,13,16,0,2024-06-29 10:09:44
4,13,16,0,2024-06-29 10:10:01
12,16,27,0,2024-06-29 10:10:19
8,15,24,0,2024-06-29 10:10:36
7,18,28,0,2024-06-29 10:10:53
7,15,24,0,2024-06-29 10:11:10
6,12,21,0,2024-06-29 10:11:28
6,12,18,0,2024-06-29 10:11:45
4,10,15,0,2024-06-29 10:12:02
4,12,13,0,2024-06-29 10:12:19
6,10,12,0,2024-06-29 10:12:36
4,9,9,0,2024-06-29 10:12:55
4,10,10,0,2024-06-29 10:13:12
6,10,10,0,2024-06-29 10:13:29
7,15,15,0,2024-06-29 10:13:47
7,13,15,0,2024-06-29 10:14:04
7,12,16,0,2024-06-29 10:14:21
9,12,19,0,2024-06-29 10:14:38
7,12,18,0,2024-06-29 10:14:55
6,12,18,0,2024-06-29 10:15:12
6,12,15,0,2024-06-29 10:15:29
4,12,13,0,2024-06-29 10:15:47
4,10,12,0,2024-06-29 10:16:04
6,10,12,0,2024-06-29 10:16:21
6,12,12,0,2024-06-29 10:16:38
7,15,15,0,2024-06-29 10:16:55
6,15,15,0,2024-06-29 10:17:12
6,13,13,0,2024-06-29 10:17:29
6,15,15,0,2024-06-29 10:17:47
6,15,16,0,2024-06-29 10:18:04
6,13,16,0,2024-06-29 10:18:22
7,13,16,0,2024-06-29 10:18:41
7,15,19,0,2024-06-29 10:18:58
6,16,21,0,2024-06-29 10:19:15
6,16,22,0,2024-06-29 10:19:34
6,16,22,0,2024-06-29 10:19:34
4,15,22,0,2024-06-29 10:19:50
4,12,22,0,2024-06-29 10:20:07
4,12,21,0,2024-06-29 10:20:24
6,13,21,0,2024-06-29 10:20:41
7,15,21,0,2024-06-29 10:20:58
7,13,19,0,2024-06-29 10:21:15
6,13,21,0,2024-06-29 10:21:32
6,13,25,0,2024-06-29 10:21:50
6,12,21,0,2024-06-29 10:22:07
7,13,18,0,2024-06-29 10:22:24
7,13,16,0,2024-06-29 10:22:41
7,12,13,0,2024-06-29 10:22:58
7,10,12,0,2024-06-29 10:23:15
6,10,13,0,2024-06-29 10:23:32
6,10,15,0,2024-06-29 10:23:50
6,12,16,0,2024-06-29 10:24:09
6,12,15,0,2024-06-29 10:24:26
6,12,16,0,2024-06-29 10:24:43
6,15,18,0,2024-06-29 10:25:00
6,15,16,0,2024-06-29 10:25:17
6,13,15,0,2024-06-29 10:25:34
9,13,18,0,2024-06-29 10:25:52
9,13,19,0,2024-06-29 10:26:09
7,13,18,0,2024-06-29 10:26:26
6,12,15,0,2024-06-29 10:26:43
6,10,13,0,2024-06-29 10:27:00
6,12,13,0,2024-06-29 10:27:17
7,12,15,0,2024-06-29 10:27:34
7,13,16,0,2024-06-29 10:27:52
6,10,15,0,2024-06-29 10:28:09
6,13,15,0,2024-06-29 10:28:26
6,13,13,0,2024-06-29 10:28:43
6,12,12,0,2024-06-29 10:29:00
6,10,10,0,2024-06-29 10:29:17
6,12,13,0,2024-06-29 10:29:36
7,13,13,0,2024-06-29 10:29:55
6,12,12,0,2024-06-29 10:30:12
6,12,12,0,2024-06-29 10:30:29
6,12,12,0,2024-06-29 10:30:46
6,10,10,0,2024-06-29 10:31:03
6,10,12,0,2024-06-29 10:31:20
6,12,13,0,2024-06-29 10:31:37
6,13,13,0,2024-06-29 10:31:54
6,13,15,0,2024-06-29 10:32:12
6,12,12,0,2024-06-29 10:32:29
4,10,13,0,2024-06-29 10:32:46
6,13,16,0,2024-06-29 10:33:03
6,10,13,0,2024-06-29 10:33:22
6,12,15,0,2024-06-29 10:33:39
6,12,15,0,2024-06-29 10:33:56
4,12,13,0,2024-06-29 10:34:14
4,10,15,0,2024-06-29 10:34:31
4,12,13,0,2024-06-29 10:34:48
6,12,12,0,2024-06-29 10:35:05
7,13,15,0,2024-06-29 10:35:24
9,18,19,0,2024-06-29 10:35:41
7,16,19,0,2024-06-29 10:35:58
6,15,18,0,2024-06-29 10:36:16
6,12,13,0,2024-06-29 10:36:33
6,10,10,0,2024-06-29 10:36:50
7,12,12,0,2024-06-29 10:37:07
7,12,12,0,2024-06-29 10:37:24
6,10,12,0,2024-06-29 10:37:41
6,12,13,0,2024-06-29 10:37:58
6,13,15,0,2024-06-29 10:38:16
7,15,16,0,2024-06-29 10:38:33
9,18,21,0,2024-06-29 10:38:52
9,16,21,0,2024-06-29 10:39:10
7,15,21,0,2024-06-29 10:39:27
7,13,22,0,2024-06-29 10:39:44
7,13,21,0,2024-06-29 10:40:01
7,13,16,0,2024-06-29 10:40:18
6,10,13,0,2024-06-29 10:40:36
6,10,13,0,2024-06-29 10:40:53
7,15,15,0,2024-06-29 10:41:10
9,15,15,0,2024-06-29 10:41:27
7,15,15,0,2024-06-29 10:41:44
6,12,12,0,2024-06-29 10:42:01
